Performance Measure,Facility Group,Count Below 3,Count 3 or Above,Total Count,Percent Below 3 at end of FY19,Target for end of FY20,Target based on: 
"The percentage of facilities within an asset class and for which agencies have capital rehab and replacement responsibility, rated below condition 3 on the FTA TERM scale",Admin/Maintenance,0,"4 (MTD Maintenance Facility is counted as two facilities for the purposes of TAM, due to the 2016 expansion)",4,0.00%,0.00%,No renovation/ replacement programmed in FY20
"The percentage of facilities within an asset class and for which agencies have capital rehab and replacement responsibility, rated below condition 3 on the FTA TERM scale",Passenger/Parking,0,1,1,0.00%,0.00%,No renovation/ replacement programmed in FY20
