Performance Measure,Basis for 2018 Target,"2018
Target (2014-2018)",Basis for 2019 Target,"2019
Target (2015-2019)",Basis for 2020 Target,"2020
Target (2016-2020)"
Number of fatalities,2% annual reduction as compared to 2012-2015 baseline data,951,2% reduction annually as compared to 2013-2017 baseline data,977.5,2% reduction annually as compared to 2014-2018 baseline data,985
Rate of fatalities per 100 million Vehicle Miles Traveled (VMT),2% annual reduction as compared to 2012-2015 baseline data,0.9,2% reduction annually as compared to 2013-2017 baseline data,0.92,2% reduction annually as compared to 2014-2018 baseline data,0.91
Number of serious injuries,Ordinary least square projection based on 2012-2015 baseline data,11231.1,2% reduction annually as compared to 2013-2017 baseline data,11727.4,2% reduction annually as compared to 2014-2018 baseline data,11668.7
Rate of serious injuries per 100 million Vehicle Miles Traveled (VMT),Ordinary least square projection based on 2012-2015 baseline data,10.83,2% reduction annually as compared to 2013-2017 baseline data,11.04,2% reduction annually as compared to 2014-2018 baseline data,10.8
Number of non-motorized fatalities and non-motorized serious injuries,2% annual reduction as compared to 2012-2015 baseline data,1508.6,2% reduction annually as compared to 2013-2017 baseline data,1431.7,2% reduction annually as compared to 2014-2018 baseline data,1456.2
