Performance Measure,2017 Baseline,2020 Target,"2022
Target"
Percent of person-miles traveled on the Interstate that are reliable,80.80%,79.00%,77.00%
Percent of person-miles traveled on the non-Interstate NHS that are reliable,87.30%,85.30%,83.30%
Truck Travel Time Reliability Index,1.30,1.34,1.37
