Performance Measure,FTA Vehicle Type,ULB,Count At Or Over ULB,Count Total,Percent At Or Over ULB end of FY19,Target for end of FY20,Target based on:
"The percentage of non-revenue, support-service and maintenance vehicles that either meet or exceeded their Useful Life Benchmark (ULB)  ",Automobile (staff pool car),5,4,8,50.00%,50.00%,No replacements programmed for FY20
"The percentage of non-revenue, support-service and maintenance vehicles that either meet or exceeded their Useful Life Benchmark (ULB)  ",Truck or other rubber tired (Maintenance Truck),10,3,8,37.50%,37.50%,No replacements programmed for FY20
