Performance Measure,2017 Baseline,2020 Target,2022 Target,2018 Performance,2020 Target Achieved?,Maintained or Improved from Baseline?
Percent of Interstate Pavement in Good condition,62.93%,65.00%,65.00%,79.20%,TBD,Yes
Percent of Interstate Pavements in Poor condition,0.00%,<5.00%,<5.00%,0.10%,TBD,No
Percent of non-Interstate NHS pavements in Good condition,33.12%,27.00%,27.00%,31.10%,TBD,No
Percent of non-interstate NHS pavements in Poor condition,0.00%,6.00%,6.00%,12.20%,TBD,No
Percent of NHS bridges classified as in Good condition,14.80%,28.00%,27.00%,15.40%,TBD,Yes
Percent of NHS bridge classified as in Poor condition,35.80%,13.00%,14.00%,40.40%,TBD,No
