Age,Female,Male
0-4,0,3
5-9,6,6
10-14,6,10
15-19,15,20
20-24,36,29
25-29,15,14
30-34,6,4
35-39,8,6
40-44,1,6
45-49,3,4
50-54,1,2
55-59,9,2
60-64,0,4
65-69,4,4
70-74,0,2
75-79,1,1
80+,0,3
