Compliance Score,Sidewalk Miles,Curb Ramps,Crosswalks,Pedestrian Signals
> 90 to 100,7.8%,43.4%,95.0%,10.7%
> 80 to 90,20.8%,26.4%,4.3%,14.6%
> 70 to 80,16.2%,16.7%,0.6%,9.1%
> 60 to 70,27.4%,8.1%,0.2%,15.4%
60 or less,27.9%,5.5%,0.0%,50.1%
