,"Date (Month, Day, Year)","Summary (include basis of complaint: race, color, or national origin)",State,Action(s) Taken
Investigations,,,,
1.,,,,
2.,,,,
Lawsuits,,,,
1.,,,,
2.,,,,
Complaints,,,,
1.,,,,
2.,,,,
