Year,Business-as-Usual Scenario,Preferred Scenario,Preferred Scenario with HSR
2015,103401,103401,103401
2020,107123,107123,107123
2025,111625,111625,111625
2030,116958,116958,116958
2035,123223,123223,126315
2040,130535,130535,133627
2045,139050,139050,140833
