Year,Business-as-Usual Scenario,Preferred Scenario,Preferred Scenario with HSR
2015,207370,207370,207370
2020,215991,215982,215985
2025,223813,223800,223805
2030,231909,231895,231908
2035,239164,239154,239167
2040,245448,245426,245458
2045,253480,253459,256781
