,Respondents,MPA Population
African American/Black,17.6,14.5
American Indian and Alaskan Native,1.1,0.6
Asian,11.9,12.7
Native Hawaiian or Pacific Islander,0.9,0.1
White/Caucasian,58.8,65.6
Hispanic/Latino,8.2,5.4
Other,1.5,1.2
