,Respondents,MPA Population
0-9,2.6,9.8
10-19,15.7,15.4
20-29,25.4,28.5
30-39,19.3,12.3
40-49,12.7,9.2
50-59,9.2,10
60-69,9.5,7.8
70-79,4,4.1
80+,1.6,2.9
