,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Walk,0.243243243,0.240506329,0.273469388,0.278761062,0.24025974,0.26446281,0.211111111,0.29787234,0.2
Wheelchair,0,0,0,0.004424779,0,0.008264463,0,0,0
Bike,0.216216216,0.202531646,0.126530612,0.132743363,0.123376623,0.140495868,0.122222222,0.085106383,0
Motor Vehicle,0.405405405,0.449367089,0.379591837,0.455752212,0.538961039,0.462809917,0.566666667,0.468085106,0.7
Ride Share,0,0.018987342,0.06122449,0.026548673,0.025974026,0.008264463,0.011111111,0,0.1
Bus,0.135135135,0.075949367,0.151020408,0.101769912,0.071428571,0.115702479,0.088888889,0.14893617,0
Skate,0,0.012658228,0.008163265,0,0,0,0,0,0
