,Female,Male,Non-binary,Prefer not to say
Walk,0.240174672,0.285714286,0.2,0.33
Wheelchair,0.002911208,0.002506266,0,0
Bike,0.113537118,0.177944862,0.4,0.11
Motor Vehicle,0.509461426,0.383458647,0.2,0.37
Ride Share,0.029112082,0.027568922,0,0.04
Bus,0.103347889,0.115288221,0.2,0.15
Skate,0.001455604,0.007518797,0,0
