,African American/Black,American Indian and Native Alaskan,Asian,Hispanic/Latino,Native Hawaiian or Pacific Islander,White/Caucasian,Other Ethnic Groups
Train,0.181818182,0,0.166666667,0.25,0,0.333333333,0
Airplane,0.181818182,0,0.166666667,0.25,0,0.333333333,0
Regional Bus,0.636363636,0,0.666666667,0.5,1,0.333333333,1
