,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
0 Cars,0.105263158,0.01010101,0.128,0.042372881,0.033333333,0.05,0.01754386,0.04,0
1 Car,0.368421053,0.232323232,0.408,0.415254237,0.288888889,0.3,0.228070175,0.6,0.888888889
2 Cars,0.473684211,0.484848485,0.328,0.449152542,0.433333333,0.45,0.614035088,0.32,0.111111111
3+ Cars,0.052631579,0.272727273,0.136,0.093220339,0.244444444,0.2,0.140350877,0.04,0
