,African American/Black,American Indian and Native Alaskan,Asian,Hispanic/Latino,Native Hawaiian or Pacific Islander,White/Caucasian,Other Ethnic Groups
Train,0.363636364,0.5,0.146341463,0.210526316,0,0.313807531,0.25
Airplane,0.454545455,0.5,0.487804878,0.473684211,1,0.518828452,0.5
Regional Bus,0.181818182,0,0.365853659,0.315789474,0,0.167364017,0.25
