,African American/Black,American Indian and Native Alaskan,Asian,Hispanic/Latino,Native Hawaiian or Pacific Islander,White/Caucasian,Other Ethnic Groups
Walking,0.23030303,0.142857143,0.282828283,0.237113402,0.3,0.266487214,0
Wheelchair,0.006060606,0.142857143,0,0.010309278,0,0.001345895,0
Biking,0.066666667,0.142857143,0.121212121,0.154639175,0.3,0.158815612,0.166666667
Motor Vehicle,0.521212121,0.428571429,0.323232323,0.432989691,0.2,0.450874832,0.666666667
Ride Share,0.042424242,0,0.060606061,0.041237113,0.1,0.02153432,0
Bus,0.133333333,0.142857143,0.202020202,0.12371134,0.1,0.096904441,0.166666667
Skate,0,0,0.01010101,0,0,0.004037685,0
