,Percent of Respondents,Percent of Total Population
0-9,0.016216216,0.098105064
10-19,0.156756757,0.153522765
20-29,0.327027027,0.285229202
30-39,0.197297297,0.123273444
40-49,0.091891892,0.092246746
50-59,0.078378378,0.100107589
60-69,0.097297297,0.077942996
70-79,0.02972973,0.040827876
80+,0.005405405,0.028744317
